Device,Count_Users,Ratio_Users,Count_Actions,Ratio_Actions,id_device
Acer,260,3e-05,260,3e-05,1
Alcatel,975,9e-05,975,9e-05,2
Amazon,4,0.0,4,0.0,3
Aoson,27,0.0,27,0.0,4
Apple,742633,0.07165,742633,0.07165,5
Archos,66,1e-05,66,1e-05,6
Asus,29729,0.00287,29729,0.00287,7
BlackBerry,545,5e-05,545,5e-05,8
Blu,1,0.0,1,0.0,9
Coolpad,32,0.0,32,0.0,10
Cubot,80,1e-05,80,1e-05,11
Fly,163,2e-05,163,2e-05,12
Generic,176737,0.01705,176737,0.01705,13
Generic_Android,140957,0.0136,140957,0.0136,14
Generic_Android_Tablet,47866,0.00462,47866,0.00462,15
Gfive,29,0.0,29,0.0,16
Gigabyte,68,1e-05,68,1e-05,17
Google,408,4e-05,408,4e-05,18
HP,214,2e-05,214,2e-05,19
HTC,74043,0.00714,74043,0.00714,20
Haipad,2,0.0,2,0.0,21
Huawei,555636,0.05361,555636,0.05361,22
Hyundai,188,2e-05,188,2e-05,23
Infinix,53,1e-05,53,1e-05,24
Intex,3,0.0,3,0.0,25
Itel,22,0.0,22,0.0,26
Jiayu,12,0.0,12,0.0,27
LG,173070,0.0167,173070,0.0167,28
Lava,2,0.0,2,0.0,29
Lenovo,59090,0.0057,59090,0.0057,30
Meizu,2,0.0,2,0.0,31
Micromax,5022,0.00048,5022,0.00048,32
Microsoft,1302,0.00013,1302,0.00013,33
Motorola,3172,0.00031,3172,0.00031,34
Nokia,38581,0.00372,38581,0.00372,35
Odys,25,0.0,25,0.0,36
OnePlus,1208,0.00012,1208,0.00012,37
Oppo,350,3e-05,350,3e-05,38
POV,1,0.0,1,0.0,39
Pantech,1,0.0,1,0.0,40
Prestigio,565,5e-05,565,5e-05,41
Qmobile,53,1e-05,53,1e-05,42
RCA,35,0.0,35,0.0,43
Samsung,1845565,0.17805,1845565,0.17805,44
Sony,78339,0.00756,78339,0.00756,45
SonyEricsson,14810,0.00143,14810,0.00143,46
Spider,1109418,0.10703,1109418,0.10703,47
Tecno,2262,0.00022,2262,0.00022,48
Trekstor,44,0.0,44,0.0,49
Umeox,259,2e-05,259,2e-05,50
Wiko,5,0.0,5,0.0,51
XiaoMi,54380,0.00525,54380,0.00525,52
ZTE,2346,0.00023,2346,0.00023,53
Zopo,61,1e-05,61,1e-05,54
ionik,2,0.0,2,0.0,55
other,5204250,0.50209,5204250,0.50209,56
vivo,179,2e-05,179,2e-05,57
