Device,Count_Status_all,Status,Count_Status
Acer,8,404,1
Acer,8,302,7
Alcatel,114,304,3
Alcatel,114,500,3
Alcatel,114,403,5
Alcatel,114,499,8
Alcatel,114,302,33
Alcatel,114,404,62
Amazon,1,301,1
Apple,99340,400,1
Apple,99340,408,8
Apple,99340,401,16
Apple,99340,502,34
Apple,99340,500,92
Apple,99340,403,355
Apple,99340,304,2366
Apple,99340,301,2893
Apple,99340,499,3850
Apple,99340,302,20520
Apple,99340,404,69205
Archos,6,302,1
Archos,6,404,5
Asus,1039,502,1
Asus,1039,301,32
Asus,1039,403,76
Asus,1039,404,86
Asus,1039,499,137
Asus,1039,304,180
Asus,1039,302,527
BlackBerry,68,301,3
BlackBerry,68,499,3
BlackBerry,68,302,6
BlackBerry,68,404,21
BlackBerry,68,304,35
Cubot,3,499,1
Cubot,3,302,2
Fly,4,302,1
Fly,4,404,1
Fly,4,499,2
Generic,10868,400,1
Generic,10868,502,4
Generic,10868,500,9
Generic,10868,404,100
Generic,10868,403,112
Generic,10868,301,118
Generic,10868,499,1135
Generic,10868,302,2810
Generic,10868,304,6579
Generic_Android,3997,408,2
Generic_Android,3997,502,8
Generic_Android,3997,301,108
Generic_Android,3997,403,158
Generic_Android,3997,404,309
Generic_Android,3997,304,609
Generic_Android,3997,499,830
Generic_Android,3997,302,1973
Generic_Android_Tablet,1839,502,2
Generic_Android_Tablet,1839,404,10
Generic_Android_Tablet,1839,301,15
Generic_Android_Tablet,1839,403,21
Generic_Android_Tablet,1839,304,246
Generic_Android_Tablet,1839,499,248
Generic_Android_Tablet,1839,302,1297
Gigabyte,1,302,1
Google,18,301,1
Google,18,499,2
Google,18,302,15
HP,16,499,1
HP,16,302,2
HP,16,304,5
HP,16,404,8
HTC,2393,408,1
HTC,2393,502,5
HTC,2393,500,6
HTC,2393,301,78
HTC,2393,403,95
HTC,2393,304,347
HTC,2393,404,387
HTC,2393,499,478
HTC,2393,302,996
Huawei,18805,500,5
Huawei,18805,504,12
Huawei,18805,408,15
Huawei,18805,502,23
Huawei,18805,301,434
Huawei,18805,403,736
Huawei,18805,304,1732
Huawei,18805,499,3333
Huawei,18805,404,6094
Huawei,18805,302,6421
Hyundai,1,302,1
Infinix,7,302,1
Infinix,7,499,6
LG,5544,500,3
LG,5544,502,14
LG,5544,301,147
LG,5544,404,249
LG,5544,403,335
LG,5544,304,700
LG,5544,499,950
LG,5544,302,3146
Lenovo,3671,502,4
Lenovo,3671,301,52
Lenovo,3671,403,55
Lenovo,3671,404,266
Lenovo,3671,499,280
Lenovo,3671,304,1388
Lenovo,3671,302,1626
Micromax,165,404,2
Micromax,165,301,2
Micromax,165,304,11
Micromax,165,403,12
Micromax,165,499,15
Micromax,165,302,123
Microsoft,208,304,4
Microsoft,208,499,15
Microsoft,208,302,38
Microsoft,208,404,151
Motorola,67,403,1
Motorola,67,404,2
Motorola,67,304,6
Motorola,67,499,26
Motorola,67,302,32
Nokia,1262,403,16
Nokia,1262,301,30
Nokia,1262,404,170
Nokia,1262,499,204
Nokia,1262,304,321
Nokia,1262,302,521
OnePlus,24,304,7
OnePlus,24,499,8
OnePlus,24,302,9
Oppo,17,302,1
Oppo,17,404,4
Oppo,17,499,5
Oppo,17,304,7
POV,1,302,1
Prestigio,54,301,1
Prestigio,54,304,2
Prestigio,54,499,4
Prestigio,54,302,9
Prestigio,54,404,38
RCA,1,302,1
Samsung,57410,400,1
Samsung,57410,504,10
Samsung,57410,500,12
Samsung,57410,408,22
Samsung,57410,502,86
Samsung,57410,301,1674
Samsung,57410,403,2379
Samsung,57410,404,6670
Samsung,57410,304,9409
Samsung,57410,499,12170
Samsung,57410,302,24977
Sony,3018,408,2
Sony,3018,502,7
Sony,3018,301,54
Sony,3018,403,96
Sony,3018,499,399
Sony,3018,304,416
Sony,3018,302,932
Sony,3018,404,1112
SonyEricsson,928,400,1
SonyEricsson,928,403,8
SonyEricsson,928,301,15
SonyEricsson,928,304,37
SonyEricsson,928,302,160
SonyEricsson,928,499,208
SonyEricsson,928,404,499
Spider,393645,400,26
Spider,393645,504,37
Spider,393645,500,45
Spider,393645,502,250
Spider,393645,403,810
Spider,393645,499,987
Spider,393645,404,13940
Spider,393645,301,41733
Spider,393645,302,52357
Spider,393645,304,283460
Tecno,75,504,2
Tecno,75,304,7
Tecno,75,499,8
Tecno,75,403,9
Tecno,75,301,13
Tecno,75,302,36
Trekstor,1,302,1
XiaoMi,1506,502,1
XiaoMi,1506,500,1
XiaoMi,1506,408,3
XiaoMi,1506,404,23
XiaoMi,1506,301,66
XiaoMi,1506,403,70
XiaoMi,1506,499,279
XiaoMi,1506,304,286
XiaoMi,1506,302,777
ZTE,25,404,1
ZTE,25,301,2
ZTE,25,499,4
ZTE,25,302,18
other,179173,206,3
other,179173,405,6
other,179173,414,17
other,179173,504,42
other,179173,408,59
other,179173,403,285
other,179173,401,307
other,179173,502,359
other,179173,400,556
other,179173,404,5595
other,179173,500,14090
other,179173,301,20081
other,179173,499,25256
other,179173,304,32065
other,179173,302,80452
vivo,4,302,4
